ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
125          -6.6309    -0.52952  -0.0092609    0.002743     -1.3082     0.68636    -0.31238
126          -6.3361     0.56985     0.19839    0.049769      -1.238     0.68621    -0.19505
127          -4.4103      0.1467     0.11296    0.066442    -0.74585     0.82518    -0.12005
128          -26.727     0.27679     0.85256     0.23693     -4.2648     0.47735     0.36456
129          -18.803     0.19444     0.73206   -0.033494     -2.9381     0.58056     0.75837
130          -20.642     0.66156     0.70254    0.046651       -2.75     0.55329     0.69208
131            -28.2     0.78632     0.92949     0.35929     -2.7101      0.5858       0.321
132          -23.241    -0.26547     0.12573   -0.039164     -2.0993     0.43519      0.9581
133          -23.594     0.81957     0.57281    0.039385     -3.5369     0.48342     0.44773
134          -21.487    0.075242     0.76431   -0.036062      -3.899     0.47884     0.62384
135          -20.347     0.39773     0.96438     0.10888     -2.8757     0.52921     0.67659
137          -4.0329    -0.14124  -0.0010839    0.080592    -0.75811     0.76041    -0.16139
138          -15.255     0.31803     0.26746   -0.060268     -1.7076     0.53791     0.34362
139          -13.504     0.25137     0.10729   -0.031255     -1.8397     0.64096    -0.02964
141          -20.413     0.46985       1.104    0.072796     -2.6048      0.4831     0.56916
142          -13.509     0.41644     0.29567    0.088017     -2.3387     0.55122     0.57352
143          -15.165     0.29909     0.46099   -0.037562     -2.6482     0.59142     0.26569
145          -12.692   -0.064432    0.037894   -0.066193     -2.0371     0.50699     0.69821
146          -26.618    0.016368     0.38435   -0.062422     -3.3992     0.44472     0.81796
147          -5.6656     0.26373    0.068259    -0.01457     -1.3077      0.7417     0.11527
148          -19.064    0.074615     0.43239     0.20774     -1.9831     0.56589      0.6633
149          -17.856     0.58848     0.78652     0.22402     -3.3325     0.53972     0.53552
150          -17.497     0.30395     0.24598    0.047324     -1.4036     0.55772     0.47805
151          -51.919     0.62017     0.63217    0.041832     -5.1129     0.44163     0.73771
152           -13.89     0.60863     0.19553   -0.038016     -2.0784     0.57037     0.20739
153          -13.462     0.57574    0.062322 -0.00066578     -3.1617     0.50705      0.2819
154          -10.962     0.68472     0.48621     0.14746     -1.1415     0.71588     0.24373
155          -10.037    0.028154     0.29748   -0.063295     -1.3084     0.64545      0.3415
156          -8.0952     0.46687     0.97151     0.17969     -1.4883      0.7541     0.44096
157          -21.725     0.29229  -0.0010163 -0.00033828     -2.8173     0.27932     0.73125
158          -18.304     0.31881      0.3586    0.015887     -2.4883     0.55501     0.54661
159          -16.165     -0.2216   0.0018698    -0.11101     -2.7742     0.46411     0.57023
160           3.0335     0.23921    0.049381     0.16528     0.56623      1.2003    -0.33031
161          -5.2796     0.25482    0.013608   0.0018067    -0.76462     0.79724    0.039506
162           -27.75    -0.28491      1.0115   -0.064571     -3.4229     0.44515     0.71806
164          -15.896     0.17895     0.41494    0.040628     -2.4073     0.64942     0.54689
165          -20.565     0.67988     0.84757     0.13884     -2.9184     0.44932     0.73335
167          -14.212     0.46225     0.37155    0.073209     -2.2128      0.4249     0.86044
168          -16.298      0.4648     0.58639     0.12797     -2.5493      0.5931     0.69104
170           -12.11     0.25866    0.098566    0.031707      -1.295     0.68115      0.4913
171          -44.924      0.8159     0.65707     0.14967     -6.2355     0.34581     0.63484
172          -2.1894     0.56084     0.05449   -0.018534    -0.33917     0.82167     0.45167
173          -20.454    -0.01731  0.00084513   -0.052967     -1.8921     0.66646     0.27555
174            -26.7     0.29575   -0.013956    -0.03787     -2.6469  -0.0074146     0.39215
175          -4.6497      0.4965      0.1874      0.3079    -0.75448     0.71432     0.73328
176          -10.266     0.35295  -0.0054193    -0.08491     -1.6043     0.69832     0.16211
177          -17.331    -0.62883     0.29282   -0.018355     -2.1446     0.58043     0.49615
178          -26.075     0.31586    0.049745   -0.066565     -3.0717     0.41987     0.67048
179          -6.5313     0.41506  -0.0017857   -0.070663    -0.81778     0.39399     0.45703
181          -16.114    -0.10157  -0.0015051   -0.088662     -1.7504     0.40296     0.67411
182          -15.712      0.1421     0.32075     0.10817     -2.6242     0.58024     0.52678
183          -19.814     0.45879     0.36415   -0.037516     -2.3951     0.53424     0.57133
185          -11.944     0.12617    0.027272    0.082305     -1.4192     0.43911     0.15673
186          -8.6367     0.40899      0.1109    0.075949     -1.4187     0.75166      0.3943
189          -11.685     0.48962     0.60625   -0.024111     -1.4521     0.65007     0.38268
190           -32.19     0.43588     0.13375   -0.014361     -2.5388     0.24164     0.47492
191           -41.36     0.24569       1.188    0.031842     -4.8523     0.42107     0.56506
193          -8.1705     0.47109    0.036549    -0.11152     -1.1597     0.24202     0.71476
195          -9.5138     0.13812     0.13949    -0.10957     -1.2424     0.49558      1.0342
196          -20.322     0.76006      1.1614    0.052687     -2.5518     0.58689     0.52549
197          -23.566     0.34966     0.50399   -0.051674     -2.6582     0.56359     0.55177
198          -6.0046     0.19344    0.013248     0.08877    -0.68231     0.77065    -0.03592
200          -18.673     0.69204     0.55801    0.054126     -2.7828     0.64709     0.54815
201          -8.8278     0.56356     0.22056   -0.016384     -1.3896     0.65296     0.35631
205           -34.07     0.16745      0.4077   -0.039281     -3.2548     0.28584     0.81777
207          -17.909    -0.25586   0.0029067   -0.051462     -1.8844     0.42693      1.3693
208          -11.892     0.58894    0.070773   0.0047834     -1.6014     0.43659   -0.033267
209           1.2826  -0.0073368   -0.021513    0.033979     0.14127      1.1229      1.1194
210          -9.6912    0.036435    0.082723  -0.0043748     -1.2933    -0.11576      1.5061
211          -19.234     0.46857      0.3068    0.009868     -2.6535     0.49035     0.63993
212           3.7869     0.17442    0.083007   -0.018643     0.52557      -28.77    -0.10622
