ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
142           20.946     0.20521      1.4806     0.46394      8.7869      1.5994     0.45411
144           18.436      0.1682    0.044841     0.21811      6.9345      8.1037    -0.13519
145           18.717     0.54624   -0.070792    0.085848      2.6766      1.7495      -2.178
146            28.52  -0.0066061    0.079721    0.032511      7.9802      4.3134    -0.36993
147            19.76    -0.23628   -0.061447    -0.02417      6.8139      4.7077    -0.23627
148           11.139     0.39781     0.90538     0.30302      2.2336      1.1465     0.27975
149           22.262    0.020192    0.028814      0.1863      9.6944       2.698     0.32903
150           12.382    -0.16297    -0.04657    0.017082      3.5048      3.9146    -0.96704
151             11.5    -0.49238   0.0035556    0.033734      3.4342      9.8861     0.19107
152           2.4771     0.29738  -0.0006929    0.033176      1.1863      1.2925    -0.85151
153           7.1243     0.14482   -0.012346   -0.020169      2.4486      2.7789     0.48216
154            34.42     0.23501     0.24116     0.16245      12.323      4.2295     -1.1498
155           6.0006     0.53564   0.0044847   -0.022301      1.8305      1.9817     0.34803
156           10.113    -0.40304     0.11234   -0.073671       3.463    -0.27056      1.0927
157           26.866    0.006525    0.092408   -0.032268      8.5711     0.36672      2.4565
