site      roi       npix      medx      medy      neuropil_pix  radius      aspect_ratio   skew        std         mrs         mrs0        compact     solidity  
2         83        126       348       257       520           6.6620      1.1243         0.1512      132.8040    1.0894      4.1205      1.0125      1.1374    
2         84        118       295       258       442           5.6679      1.0277         0.4525      106.8425    1.0045      3.8339      1.0034      1.1685    
2         85        183       389       265       608           9.3960      1.2248         0.6291      136.9567    1.3470      4.9596      1.0401      1.0943    
2         86        186       153       269       610           7.1950      1.0417         0.0482      221.5649    1.2989      4.9462      1.0057      1.1125    
2         87        64        188       266       420           5.0035      1.1504         0.6414      113.5141    0.7401      2.7707      1.0230      1.2135    
2         88        76        288       288       433           4.6577      1.0289         0.4242      105.3505    0.8020      3.0715      1.0000      1.2182    
2         89        39        316       293       377           3.5284      1.0402         0.5185      153.3739    0.5971      2.2745      1.0053      1.2982    
2         90        90        481       298       418           6.0433      1.1038         4.6978      134.5149    0.9354      3.5452      1.0104      1.2027    
2         91        102       167       302       474           5.6057      1.0487         0.1113      188.0836    0.9835      3.7558      1.0028      1.1696    
2         92        590       77        312       1155          14.3040     1.1730         1.2698      496.0175    2.2532      8.2652      1.0440      1.0309    
2         93        32        30        306       362           3.2791      1.1754         0.3832      270.3657    0.5611      2.1027      1.0220      1.2917    
2         94        117       238       310       481           5.8750      1.0169         0.7409      105.7314    1.0110      3.8716      1.0000      1.1713    
2         95        54        487       310       406           4.7880      1.1886         0.8090      145.8480    0.6965      2.5745      1.0361      1.2208    
2         96        151       335       316       571           6.6778      1.0568         0.0192      152.6688    1.1563      4.4136      1.0033      1.1358    
2         97        40        413       313       870           3.7251      1.0690         2.0143      197.7321    0.6045      2.2745      1.0177      1.3704    
2         98        45        383       325       381           3.6998      1.0885         0.3287      218.4309    0.6217      2.3428      1.0163      1.3684    
2         99        259       129       334       736           8.6555      1.0505         0.4558      179.7150    1.4909      5.6788      1.0055      1.0988    
2         100       131       259       338       439           6.8295      1.1369         0.1029      144.6918    1.0983      4.1547      1.0124      1.1296    
2         101       86        176       338       442           5.9043      1.1280         0.2978      136.5884    0.9030      3.4126      1.0133      1.1799    
2         102       188       84        343       646           6.9578      0.9981         -0.2022     229.5242    1.3066      4.9860      1.0036      1.1034    
2         103       302       273       346       657           8.6625      1.1152         -0.0101     140.3324    1.4945      5.6913      1.0057      1.1090    
2         104       165       220       355       547           7.5211      1.1217         1.3196      175.0012    1.2549      4.7321      1.0156      1.1326    
2         105       126       480       364       520           6.7144      1.0337         0.4293      68.7771     1.1029      4.1897      1.0081      1.1324    
2         106       104       385       375       500           5.4025      1.0008         0.8251      209.7511    0.9835      3.7558      1.0028      1.1696    
2         107       86        439       375       400           5.2567      1.0835         0.1117      165.0699    0.8971      3.4126      1.0068      1.1884    
2         108       220       90        383       588           8.5022      1.0629         -0.1449     286.0237    1.4533      5.5149      1.0092      1.1082    
2         109       24        280       377       761           2.6982      1.0596         0.5648      212.9870    0.4567      1.6926      1.0333      1.5000    
2         110       78        306       380       426           4.7140      1.0704         0.3353      127.2627    0.7897      3.0058      1.0061      1.2549    
2         111       79        426       382       404           5.8081      1.1187         0.4523      90.5569     0.8713      3.3082      1.0087      1.1756    
2         112       36        242       381       755           3.2475      1.0587         0.4228      231.8414    0.5758      2.1962      1.0041      1.3600    
2         113       112       480       385       461           6.2372      1.0455         1.4289      76.0054     1.0065      3.8529      1.0004      1.1798    
2         114       331       259       392       747           9.4157      1.0797         -0.6481     424.3497    1.6592      6.3155      1.0061      1.0763    
2         115       204       360       397       690           8.6937      1.1423         0.0045      144.7542    1.3991      5.2524      1.0201      1.1017    
2         116       103       78        396       400           4.7557      1.0099         1.4503      213.7665    0.8126      3.1121      1.0000      1.2321    
2         117       27        489       394       715           2.7680      1.0062         0.5833      102.4653    0.4625      1.7443      1.0154      1.5172    
2         118       149       430       399       511           7.1001      1.0579         5.9192      137.5526    1.1507      4.3968      1.0023      1.1369    
2         119       117       29        400       503           6.0684      1.0144         0.4033      65.4703     1.0034      3.8339      1.0022      1.1620    
2         120       234       123       411       718           8.5602      1.0361         0.1323      328.9940    1.4752      5.6279      1.0038      1.0874    
2         121       108       55        410       493           6.0108      1.0429         0.5625      113.2228    0.9877      3.7746      1.0021      1.1744    
2         122       29        487       414       359           4.2892      1.2588         0.5459      101.2274    0.5900      1.9577      1.1541      1.1739    
2         123       134       272       418       536           6.6697      1.0893         0.2884      106.8996    1.1078      4.2236      1.0045      1.1403    
2         124       110       428       419       514           6.8326      1.1008         0.2892      81.0771     1.0357      3.9079      1.0150      1.1368    
2         125       151       466       425       511           6.8156      1.0661         0.1793      87.1851     1.1496      4.3821      1.0047      1.1477    
2         126       71        292       428       440           4.6345      1.0767         0.3897      125.0571    0.7664      2.9119      1.0080      1.2500    
2         127       25        225       427       828           2.7915      1.0843         0.7051      127.6201    0.4352      1.6354      1.0191      1.4615    
2         128       141       391       434       523           6.7874      1.0905         1.0066      217.9276    1.1335      4.3049      1.0084      1.1391    
2         129       21        446       441       782           1.6276      0.9717         -0.0690     435.6172    0.2802      1.0730      1.0000      0.9000    
2         130       112       50        456       488           5.8506      1.0272         3.1775      172.4634    1.0065      3.8529      1.0004      1.1798    
2         131       76        356       454       407           4.5615      1.0285         -0.3626     297.9389    0.8020      3.0715      1.0000      1.2182    
2         132       205       187       459       607           8.3152      1.1637         -0.1661     156.8974    1.3794      5.1692      1.0219      1.1118    
2         133       90        77        460       426           5.9189      1.1645         0.0767      206.7284    0.9110      3.3918      1.0286      1.2273    
2         134       124       371       462       497           5.5582      1.0550         -0.0092     250.7695    1.0022      3.8339      1.0011      1.1620    
2         135       102       484       466       438           6.1443      1.0769         0.2540      61.8709     0.9631      3.6431      1.0124      1.1750    
2         136       235       236       469       649           8.6621      1.0565         2.7220      99.2926     1.4838      5.6662      1.0029      1.1073    
2         137       43        488       476       713           3.8209      1.0131         0.6399      79.9365     0.6381      2.4330      1.0043      1.2923    
2         138       80        50        482       454           4.8726      1.0039         0.4459      103.9578    0.8074      3.0921      1.0000      1.2252    
2         139       230       287       483       636           7.5650      1.1065         0.1511      154.9881    1.3203      5.0282      1.0056      1.1118    
2         140       58        133       482       384           4.7199      1.1576         0.3660      194.2983    0.7368      2.7452      1.0279      1.2619    
2         141       187       199       487       481           7.8471      1.1227         0.2260      95.7908     1.2704      4.8056      1.0124      1.1439    
2         142       72        348       489       507           6.6786      1.3804         0.3271      128.9990    0.8785      3.0058      1.1193      1.1852    
2         143       97        115       492       477           5.8585      1.0809         0.5182      134.9276    0.9442      3.5657      1.0141      1.1613    
2         144       133       214       493       424           6.2927      1.0612         0.0489      167.9044    1.1084      4.1723      1.0174      1.1659    
2         145       119       486       492       524           5.4857      1.0737         0.8509      136.5260    0.9907      3.7746      1.0052      1.1543    
2         146       68        454       495       420           5.7348      1.3208         -0.1786     283.7583    0.8205      2.8894      1.0876      1.2826    
3         0         39        35        15        386           4.7086      1.2314         0.5670      100.5736    0.5861      2.3095      1.1027      1.2063    
3         1         186       152       18        552           7.2623      1.0462         -0.3769     329.2002    1.1370      4.9050      1.0074      1.1333    
3         2         100       273       16        892           5.6811      1.0681         0.5712      93.3408     0.8397      3.5857      1.0177      1.2133    
3         3         27        438       14        851           3.6247      1.2934         0.8042      165.9710    0.4502      1.8346      1.0663      1.5000    
3         4         211       262       23        543           7.9582      1.0594         3.3039      106.0286    1.1777      5.0985      1.0038      1.1018    
3         5         39        167       24        396           4.5937      1.2389         0.8582      129.3495    0.5612      2.2238      1.0967      1.1667    
3         6         71        18        28        440           4.7321      1.0348         0.5384      80.9755     0.6843      2.9585      1.0051      1.2039    
3         7         210       344       42        645           8.3570      1.0957         -0.0473     134.0104    1.2562      5.4019      1.0106      1.0987    
3         8         184       306       43        582           8.6849      1.1491         0.4107      81.5242     1.1909      5.0708      1.0205      1.1098    
3         9         225       490       48        687           8.7524      1.1462         0.2708      96.5801     1.2643      5.3625      1.0246      1.0856    
3         10        127       407       46        543           7.2046      1.1472         1.7538      94.0048     0.9508      4.0702      1.0151      1.1304    
3         11        93        373       51        461           5.4918      1.0666         0.4610      137.6638    0.8336      3.5857      1.0103      1.1818    
3         12        24        249       51        804           2.6554      1.1431         0.8646      221.0281    0.3904      1.6655      1.0186      1.6667    
3         13        85        75        61        474           4.6622      1.0077         0.5199      142.3475    0.7115      3.0921      1.0000      1.2252    
3         14        139       110       66        531           6.4112      1.0077         0.4604      91.9045     0.9995      4.3208      1.0052      1.1234    
3         15        98        312       66        474           5.5703      1.0501         0.3204      130.3402    0.8367      3.5657      1.0198      1.1688    
3         16        158       343       69        562           6.8772      1.0178         0.2949      93.7295     1.0830      4.6557      1.0109      1.0929    
3         17        45        368       69        736           3.7167      1.0423         0.5905      162.9275    0.5661      2.4602      1.0000      1.3231    
3         18        38        367       75        720           3.4758      1.0999         0.5103      189.6187    0.5125      2.1962      1.0140      1.3333    
3         19        197       380       81        586           7.4786      1.1141         1.3099      153.1585    1.1393      4.8910      1.0123      1.1118    
3         20        123       334       84        475           6.6941      1.1097         0.3040      115.4370    0.9458      4.0702      1.0098      1.1471    
3         21        100       155       93        408           5.7740      1.0649         0.4381      98.9349     0.8467      3.6431      1.0099      1.1750    
3         22        226       481       96        627           7.7845      1.0629         -0.6886     330.2296    1.1905      5.1692      1.0008      1.1085    
3         23        140       193       101       518           6.7059      1.1211         0.6991      95.1784     0.9630      4.1367      1.0117      1.1362    
3         24        42        201       97        742           3.5488      1.1310         0.6155      202.9475    0.5327      2.2745      1.0177      1.3704    
3         25        142       351       102       555           6.6001      1.0119         0.3354      92.2001     1.0164      4.3968      1.0045      1.1230    
3         26        101       171       101       471           6.0501      1.0743         0.5429      73.5141     0.8486      3.6614      1.0072      1.1656    
3         27        248       398       105       687           8.3635      1.0963         1.2095      260.3220    1.2835      5.5401      1.0067      1.1157    
3         28        157       447       102       640           7.7866      1.2140         0.0497      178.7231    1.0568      4.4464      1.0329      1.1111    
3         29        108       139       102       446           5.8699      1.0052         0.6923      84.9826     0.8823      3.8339      1.0000      1.1620    
3         30        122       19        106       498           5.8871      1.0224         0.5768      245.0878    0.8951      3.8899      1.0000      1.1758    
3         31        290       223       113       634           8.6885      1.0688         -0.7283     346.6517    1.3389      5.8004      1.0031      1.1121    
3         32        181       207       127       422           7.1142      1.0183         0.2514      112.0228    1.1472      4.9596      1.0052      1.0841    
3         33        136       162       126       528           8.0985      1.2083         1.1129      91.8982     1.0315      4.3049      1.0412      1.1197    
3         34        215       308       128       694           9.9144      1.2651         0.3299      96.2601     1.2926      5.2944      1.0610      1.0674    
3         35        39        493       128       354           3.5953      1.0585         0.5859      108.9099    0.5342      2.3095      1.0051      1.3103    
3         36        158       21        132       587           7.5954      1.1328         0.0644      235.2776    1.0791      4.6237      1.0142      1.1062    
3         37        139       288       132       474           6.9127      1.0647         0.3915      99.4051     1.0005      4.3208      1.0062      1.1330    
3         38        121       455       134       503           6.0235      1.0027         0.4129      66.4832     0.9033      3.9255      1.0000      1.1848    
3         39        161       187       137       546           7.7818      1.1147         0.1577      112.9845    1.1084      4.7613      1.0116      1.1111    
3         40        208       219       140       509           7.5327      1.0408         -0.6307     311.3305    1.1835      5.1410      1.0004      1.1131    
3         41        177       161       144       570           7.8584      1.1327         0.1399      121.3179    1.1142      4.7613      1.0169      1.1150    
3         42        52        411       142       418           4.8153      1.1930         0.6385      123.4934    0.6241      2.6042      1.0414      1.2152    
3         43        155       239       164       538           6.4357      0.9929         0.2957      95.2364     1.0311      4.4782      1.0006      1.1406    
3         44        65        17        171       409           6.1053      1.2930         0.8790      101.3427    0.7343      2.9337      1.0876      1.2842    
3         45        120       427       175       504           5.9030      1.0125         0.3937      90.2561     0.8836      3.8339      1.0016      1.1751    
3         46        160       86        178       581           7.7846      1.1934         1.7985      286.2543    1.0940      4.6237      1.0282      1.1022    
3         47        319       369       184       743           8.9589      1.0655         0.0841      111.0212    1.4586      6.3155      1.0036      1.0825    
3         48        205       398       187       623           7.2194      1.0406         0.1068      197.3353    1.1751      5.0847      1.0042      1.1193    
3         49        140       334       187       532           6.5302      1.0425         0.3232      130.6663    1.0045      4.3519      1.0030      1.1261    
3         50        95        106       190       435           6.7772      1.2349         0.5104      86.7862     0.8719      3.5857      1.0567      1.1895    
3         51        160       30        200       562           6.9768      1.0145         0.4083      98.1676     1.0211      4.4301      1.0016      1.1440    
3         52        312       464       207       783           9.2884      1.0585         0.6998      334.2966    1.4607      6.3155      1.0051      1.0682    
3         53        38        268       202       354           3.5176      1.1063         0.9913      255.9897    0.5244      2.2499      1.0129      1.3333    
3         54        45        90        203       383           3.6523      1.0864         1.3304      166.0314    0.5377      2.3095      1.0117      1.3571    
3         55        255       303       209       609           9.0206      1.1102         0.3030      93.3792     1.3741      5.8860      1.0145      1.0769    
3         56        246       203       212       583           9.9290      1.1731         -0.2890     342.3646    1.3584      5.7646      1.0240      1.0829    
3         57        159       52        219       434           6.6696      1.0454         -0.2240     345.3740    1.0217      4.4301      1.0023      1.1301    
3         58        169       219       223       470           7.4706      1.0795         0.3111      152.6416    1.1069      4.7757      1.0072      1.1142    
3         59        85        295       221       376           5.5874      1.1472         0.4186      138.7224    0.7975      3.4126      1.0155      1.1884    
3         60        150       60        229       506           6.6870      1.0677         1.4391      142.2468    0.9843      4.2564      1.0049      1.1130    
3         61        131       414       229       543           6.1490      1.0226         0.7446      187.1644    0.9743      4.2067      1.0065      1.1312    
3         62        221       164       233       695           9.3501      1.1631         3.1159      255.9393    1.2619      5.3758      1.0201      1.0997    
3         63        181       207       240       548           7.8224      1.1190         -0.3746     243.5658    1.1272      4.8490      1.0101      1.1067    
3         64        90        186       238       450           6.0690      1.1571         0.4266      132.1888    0.7965      3.4126      1.0143      1.1884    
3         65        253       113       248       657           8.2167      1.0674         1.9536      322.4010    1.3131      5.6788      1.0048      1.0831    
3         66        94        382       250       461           4.7833      1.0005         2.4732      160.5829    0.7161      3.1121      1.0000      1.2321    
3         67        321       134       265       763           10.1238     1.0788         0.1081      100.4785    1.5348      6.6135      1.0085      1.0655    
3         68        321       244       265       745           9.5965      1.0792         -0.7564     344.7094    1.4693      6.3593      1.0040      1.0692    
3         69        68        162       273       365           4.7403      1.0918         0.5556      141.4799    0.6708      2.8894      1.0089      1.2421    
3         70        62        166       280       391           4.5271      1.0625         0.6385      111.8515    0.6535      2.7953      1.0159      1.2222    
3         71        157       404       291       565           8.0059      1.1128         4.1356      260.5212    1.0905      4.6713      1.0145      1.1039    
3         72        71        207       289       904           4.6732      1.0919         1.5029      143.3830    0.6779      2.9119      1.0117      1.2371    
3         73        208       296       293       640           7.4359      1.0782         0.0047      136.4022    1.1444      4.9462      1.0055      1.1090    
3         74        101       213       294       496           7.7788      1.3459         1.4080      129.6614    0.9272      3.6244      1.1117      1.1006    
3         75        155       480       299       511           6.4377      0.9965         1.1707      134.6464    1.0311      4.4782      1.0006      1.1406    
3         76        74        457       298       435           4.5506      1.0491         3.2642      276.8984    0.6959      3.0058      1.0061      1.2549    
3         77        187       242       311       667           9.6101      1.2276         0.7660      81.4223     1.2068      5.0568      1.0370      1.1003    
3         78        542       78        317       936           11.6825     1.0090         0.9735      509.0118    1.9428      8.4343      1.0010      1.0534    
3         79        120       220       317       523           6.3075      1.0566         0.9147      164.3250    0.9483      4.0873      1.0082      1.1401    
3         80        54        392       330       724           4.6763      1.2330         0.3140      199.7363    0.6341      2.6327      1.0466      1.3067    
3         81        263       137       340       679           8.6015      1.0171         -0.7146     509.9073    1.3472      5.8353      1.0033      1.1030    
3         82        60        269       335       748           3.6482      1.0096         0.5830      143.0448    0.5779      2.5111      1.0000      1.3235    
3         83        49        385       338       733           3.5092      0.9937         0.3320      256.2558    0.5779      2.5111      1.0000      1.3235    
3         84        205       402       341       538           7.4311      1.0394         0.1071      219.0749    1.1682      5.0568      1.0039      1.1207    
3         85        51        186       342       371           4.8041      1.2256         0.3044      184.4064    0.6341      2.6327      1.0466      1.3067    
3         86        124       493       346       494           6.3535      1.0785         0.5087      145.9046    0.9639      4.1205      1.0166      1.1594    
3         87        137       233       348       565           6.7759      1.1132         2.0391      146.2385    0.9818      4.2236      1.0101      1.1507    
3         88        420       275       352       840           12.5590     1.2134         0.5114      100.0966    1.7693      7.3615      1.0444      1.0450    
3         89        171       364       351       575           7.3024      1.0722         0.4741      123.7462    1.1150      4.8056      1.0083      1.1203    
3         90        40        197       354       367           3.7072      1.1181         0.7389      255.9579    0.5267      2.2238      1.0292      1.3208    
3         91        132       249       370       536           6.9938      1.0905         3.4481      132.2614    0.9671      4.1723      1.0072      1.1284    
3         92        177       392       381       525           7.3540      1.0690         -0.5016     337.8005    1.1376      4.9189      1.0050      1.1068    
3         93        215       181       384       675           8.7524      1.0972         0.3301      126.5719    1.2662      5.4274      1.0138      1.0947    
3         94        66        98        385       890           5.6016      1.2309         0.2370      268.3823    0.7272      2.9585      1.0682      1.2039    
3         95        114       313       388       506           6.6496      1.1303         0.4584      119.9710    0.9293      3.9629      1.0191      1.1385    
3         96        186       91        393       643           7.5750      1.0738         0.7791      141.0559    1.1153      4.8202      1.0055      1.1081    
3         97        165       407       392       499           6.8330      1.0075         0.5256      134.8156    1.0281      4.4624      1.0012      1.1371    
3         98        273       267       398       707           9.5122      1.1434         -0.2237     144.0076    1.3712      5.8609      1.0167      1.1020    
3         99        35        375       394       353           3.6615      1.2119         0.8167      434.3099    0.4920      2.1027      1.0169      1.4091    
3         100       178       478       400       598           7.3673      1.1005         -0.2286     161.3702    1.1320      4.8632      1.0115      1.1133    
3         101       153       69        406       445           6.2880      0.9923         0.3992      264.0653    1.0376      4.5092      1.0000      1.1474    
3         102       49        237       415       378           3.6246      1.0273         0.5727      153.7660    0.5623      2.4330      1.0043      1.2923    
3         103       84        62        417       369           5.4564      1.0873         0.4035      127.9475    0.7883      3.4126      1.0038      1.1799    
3         104       18        18        421       815           2.5483      1.1390         0.8161      177.2301    0.3538      1.5228      1.0097      1.5238    
3         105       131       189       425       512           6.8386      1.0973         0.4926      98.5233     0.9681      4.1547      1.0126      1.1509    
3         106       203       399       440       595           7.7011      1.0887         -0.4339     281.9722    1.1704      5.0708      1.0030      1.1064    
3         107       107       340       443       465           6.0223      1.0879         0.2321      158.5195    0.8555      3.6794      1.0104      1.1852    
3         108       97        19        450       445           5.6872      1.0480         0.9031      104.9846    0.8382      3.6244      1.0050      1.1923    
3         109       96        366       452       504           5.9236      1.1505         -0.1460     227.9245    0.8218      3.5095      1.0175      1.1600    
3         110       58        75        454       388           4.6470      1.1370         0.2398      195.2313    0.6421      2.7707      1.0071      1.2706    
3         111       25        495       460       805           2.5151      1.0274         0.6754      149.4542    0.4014      1.7443      1.0000      1.5172    
