site           roi      hw_raw     hw_norm   orth_norm
3.0           79.0       51.53       47.36     0.11178
3.0           80.0       55.22       52.45    0.057934
3.0           81.0        null        null        null
3.0           82.0        47.5       43.36     0.11442
3.0           83.0       56.66       58.08   -0.013813
3.0           84.0       48.38       45.05    0.084068
3.0           85.0       63.31       51.21     0.26348
3.0           86.0       70.44       48.55     0.39949
3.0           87.0        45.6       45.72   -0.004266
3.0           88.0          57       49.67     0.09185
3.0           89.0        61.5       57.35    0.097551
3.0           90.0       59.27       50.01     0.17912
3.0           91.0       43.03        42.8   0.0069642
3.0           92.0       62.48       62.47  -0.0012627
3.0           93.0       78.64       63.83     0.22641
3.0           94.0        49.7       45.36     0.12075
3.0           95.0        45.4       44.13    0.036673
3.0           96.0       57.86       54.73    0.075155
3.0           97.0       52.23       48.18     0.10256
3.0           98.0       56.59       52.09     0.10946
3.0           99.0       58.89       51.92     0.14871
3.0          100.0        null        null        null
3.0          101.0       52.29       50.92    0.036215
3.0          102.0       61.12       48.28     0.23728
3.0          103.0       57.99       54.78     0.08292
3.0          104.0       62.38       58.69    0.083208
3.0          105.0       77.95       65.19     0.21399
3.0          106.0        61.5       62.78   -0.021122
3.0          107.0       55.74       52.46    0.072608
3.0          108.0        78.3       60.91      0.1292
3.0          109.0       72.03       65.94     0.11231
3.0          110.0       57.48       55.04    0.057424
3.0          111.0        null        null        null
3.0          112.0       70.02       69.42    0.013849
3.0          113.0       62.72       46.43     0.17518
3.0          114.0       70.29       49.78     0.23625
3.0          115.0        null        null        null
3.0          116.0      111.87       54.36     0.32958
3.0          117.0        null        null        null
3.0          118.0       66.45       46.23      0.4031
3.0          119.0       55.76       54.19    0.032146
3.0          120.0       45.16       36.87     0.24863
3.0          121.0        61.8       56.35     0.13344
3.0          122.0        null        null        null
3.0          123.0        null        null        null
3.0          124.0       62.16       49.12     0.25275
3.0          125.0       66.66       50.01     0.26406
3.0          126.0      105.23       73.92     0.39179
3.0          127.0       53.13       51.17    0.054755
3.0          128.0        null        null        null
3.0          129.0       56.87       50.97     0.12917
4.0            0.0       71.43       63.19     0.14837
4.0            1.0       80.08       65.35     0.22024
4.0            2.0       77.34       62.88     0.25681
4.0            3.0       80.01       77.46    0.052296
4.0            4.0       62.68        58.9    0.079115
4.0            5.0       84.84       72.25      0.2138
4.0            6.0       54.54       47.22     0.15586
4.0            7.0       86.77       76.09     0.18149
4.0            8.0       48.63       44.49     0.09007
4.0            9.0       72.45       66.67    0.097698
4.0           10.0        79.8       64.17     0.24855
4.0           11.0       68.37       55.67     0.24727
4.0           12.0        62.2       51.64     0.20822
4.0           13.0       91.25       72.68     0.16696
4.0           14.0       74.74       62.63     0.22379
4.0           15.0        null        null        null
4.0           16.0       79.67       69.45     0.19301
4.0           17.0        null        null        null
4.0           18.0       76.17       50.15     0.33693
4.0           19.0       54.91       54.89  -0.0011451
4.0           20.0       62.28       51.73      0.1694
4.0           21.0       68.41       60.39     0.14806
4.0           22.0        null        null        null
4.0           23.0        null        null        null
4.0           24.0        null        null        null
4.0           25.0        null        null        null
4.0           26.0       71.77       59.47     0.21759
4.0           27.0        null        null        null
4.0           28.0       56.09       53.83    0.058502
4.0           29.0       62.37       48.17     0.31403
4.0           30.0        null        null        null
4.0           31.0        null        null        null
4.0           32.0        null        null        null
4.0           33.0       68.56       51.86     0.22926
4.0           34.0        null        null        null
