site        roi         bsf         bdr         dsi         osi         dcv         ocv         
3           62          2.56        330         0.0329674   1           0.917946    0.144369    
3           63          3.84        150         0.153084    0.80487     0.905134    0.443779    
3           64          5.12        330         0.00552521  0.921075    0.969847    0.345973    
3           65          1.92        150         0.435536    1           0.712408    0.252085    
3           66          2.56        120         0.168965    0.821947    0.954928    0.527281    
3           67          3.84        150         0.152882    0.7781      0.883879    0.502214    
3           68          5.12        330         0.0367304   0.968459    0.860453    0.366095    
3           69          5.12        150         0.0193297   0.856465    0.935277    0.370539    
3           70          5.12        150         0.0137678   0.80986     0.938298    0.492917    
3           71          7.68        300         0.103139    0.554158    0.912769    0.610382    
3           72          2.56        150         0.490403    0.981223    0.514156    0.167788    
3           73          7.68        150         0.000291979 0.845328    0.924706    0.330104    
3           74          2.56        150         0.457503    0.936123    0.56349     0.215942    
3           75          5.12        210         0.21813     0.492829    0.900912    0.765971    
3           76          5.12        210         0.207104    0.921219    0.735218    0.341649    
3           77          10.24       150         0.0511534   1           0.981885    0.174223    
3           78          7.68        180         0.436332    0.779866    0.81899     0.641399    
3           79          5.12        150         0.0488266   0.934788    0.912728    0.291275    
3           80          7.68        180         0.0786096   0.8095      0.93226     0.433043    
3           81          3.84        150         0.691952    0.204297    0.793104    0.835498    
3           82          10.24       330         0.00638295  0.971856    0.965245    0.208441    
3           83          7.68        180         0.372264    0.667303    0.763797    0.506914    
3           84          10.24       0           0.0976396   0.957444    0.905545    0.246338    
3           85          7.68        120         0.0549199   0.760018    0.926732    0.561832    
3           86          7.68        210         0.176794    0.225694    0.890244    0.781724    
3           87          7.68        300         0.0876951   1           0.894315    0.167374    
3           88          5.12        150         0.14608     0.858479    0.886236    0.498645    
3           89          10.24       150         0.0804803   0.920941    0.956983    0.305939    
3           90          7.68        300         0.0387824   0.740459    0.931652    0.552747    
3           91          10.24       300         0.0712455   0.990103    0.932708    0.145217    
3           92          10.24       0           0.286947    1           0.895066    0.316471    
3           93          5.12        120         0.199077    0.284785    0.854172    0.69883     
3           94          5.12        240         0.179859    0.697265    0.922252    0.476254    
3           95          10.24       150         0.0548825   1           0.973802    0.232341    
3           96          3.84        60          0.0568972   0.913741    0.979386    0.454924    
3           97          5.12        150         0.321771    0.761741    0.826774    0.496251    
3           98          10.24       120         0.0300117   0.849328    0.947191    0.32514     
3           99          7.68        150         0.140966    0.701107    0.938318    0.514531    
3           100         10.24       0           0.305072    0.466585    0.887389    0.641896    
