site       ROI        LHI2            LHI3           
5          54         0.40423         0.3771         
5          55         0.3333          0.34968        
5          56         0.1028          0.14152        
5          57         0.48336         0.35708        
5          58         0.12271         0.14239        
5          59         0.4827          0.33972        
5          60         0.05871         0.038064       
5          61         0.085684        0.14013        
5          62         0.09253         0.11848        
5          63         0.071514        0.092625       
5          64         0.075299        0.084779       
5          65         0.23091         0.34659        
5          66         0.36362         0.30784        
5          67         0.24722         0.26604        
5          68         0.085643        0.071925       
5          69         0.050809        0.076189       
5          70         0.24445         0.14693        
5          71         0.20939         0.28034        
5          72         0.071953        0.08671        
5          73         0.067783        0.081275       
5          74         0.061416        0.10151        
5          75         0.17746         0.14646        
5          76         0.16567         0.22721        
5          77         0.053135        0.054253       
5          78         0.20732         0.26222        
5          79         0.10094         0.16209        
5          80         0.12625         0.1896         
5          81         0.10796         0.1627         
5          82         0.13137         0.20729        
5          83         0.10012         0.16201        
5          84         0.10817         0.21469        
5          85         0.18108         0.31482        
5          86         0.069305        0.16875        
5          87         0.17263         0.28131        
5          88         0.14835         0.20314        
5          89         0.1472          0.24044        
5          90         0.12857         0.0879         
5          91         0.33529         0.51517        
5          92         0.24938         0.34417        
5          93         0.16156         0.18948        
5          94         0.13564         0.11166        
5          95         0.14039         0.11243        
5          96         0.071739        0.10475        
5          97         0.14789         0.11446        
5          98         0.16684         0.12018        
5          99         0.12781         0.10192        
5          100        0.15812         0.12203        
5          101        0.19799         0.14977        
5          102        0.23193         0.20639        
5          103        0.14868         0.12428        
5          104        0.24952         0.19557        
5          105        0.20526         0.16527        
5          106        0.36184         0.23453        
5          107        0.2754          0.19814        
5          108        0.3716          0.43347        
5          109        0.17829         0.15687        
5          110        0.28058         0.22969        
5          111        0.13867         0.087409       
5          112        0.49863         0.36335        
5          113        0.34981         0.46592        
5          114        0.17323         0.15708        
5          115        0.32674         0.26686        
5          116        0.69069         0.4727         
5          117        0.1739          0.095209       
5          118        0.24802         0.12382        
5          119        0.74982         0.44185        
5          120        0.13345         0.18637        
5          121        0.098634        0.1188         
5          122        0.075581        0.094304       
5          123        0.8016          0.58196        
5          124        0.09016         0.11773        
5          125        0.26151         0.13359        
5          126        0.5263          0.23668        
5          127        0.057892        0.14888        
5          128        0.83342         0.65353        
5          129        0.046204        0.055248       
5          130        0.45051         0.53685        
5          131        0.32552         0.15663        
5          132        0.33577         0.15928        
5          133        0.28933         0.27089        
5          134        0.049091        0.073329       
5          135        0.039846        0.046478       
5          136        0.047765        0.073214       
5          137        0.13454         0.15315        
5          138        0.55947         0.49522        
5          139        0.036838        0.049768       
5          140        0.34545         0.38153        
5          141        0.045271        0.058299       
5          142        0.34873         0.17826        
5          143        0.37823         0.50384        
