ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
113           82.511     0.54911     0.62833     0.65784      10.908      3.2004    -0.87463
114           19.804     0.86228     0.88643      1.1517      4.8315      1.3771    -0.72929
115           9.3657   -0.083452     0.15793     0.37389      2.4599      1.2375     0.67582
116           10.123     0.14877     0.20007     0.27564      2.6047      1.4974    -0.66607
117           6.3886    -0.12523     0.27992     0.12724      2.7859      1.2748    0.033792
118           3.1452    -0.53846     0.50032     0.16173      1.1034      1.0796    -0.47514
119           20.312     0.20889       1.086     0.26076      4.3338      1.3223    -0.04271
120          -7.2212     0.52339     0.24184     0.32091     -3.2156     0.81251     -0.1531
121            6.257     0.29031      1.3417     0.41571      1.2593      1.0907    -0.23692
122          -1.3953    -0.19987    -0.10502   -0.034478    -0.13725     0.89314     0.49323
123           11.642     0.26367    0.023211     0.13904      3.3879      1.7665    -0.15221
124           40.463     0.62415      0.2022     0.44094      3.2232      1.3722    -0.20571
125           10.554     0.24561    0.081072     0.37356      1.6091      1.6543     0.58269
126           10.318   -0.036049     0.19609      0.1057      3.5171      1.7654    -0.40742
127           -2.868      0.1927      0.8427     0.33695    -0.99402     0.93088     0.17746
128           10.053     0.52885      1.1915     0.66854      1.8005      1.1518    -0.30813
129         -0.22474     0.37821      1.1928     0.47982   -0.053147     0.99589   -0.086612
130           1.5817     0.44683      1.6651     0.38493     0.35932      1.0237      0.3604
131           2.0624    0.080827    0.059747     0.28475      0.9012      1.0918    -0.54568
132           8.3775    -0.23733   -0.068975     0.17098      1.9191      1.9353     0.61648
133          -7.2861     0.59082      6.5518     0.62507     -1.6497       0.882     0.49709
134           -5.337     0.71708      1.7873     0.42959     -1.0775     0.90689     0.32668
135           11.115    -0.51874   -0.026504     0.13642      1.9224      1.7523      1.1069
136           13.844   -0.097094  -0.0064955     0.24352       2.786     -5.1209      1.5766
137          -14.752     0.23828     0.14589     0.16643     -3.4029     0.73731    -0.21556
138         0.054688     0.52077     0.40682    0.083754   0.0053134      1.0008     0.29845
139          0.68987     0.11172     0.89085     0.33557     0.12761      1.0132    0.022902
